,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,(24.0000|-561.0000),(942.0000|10637.0000),(125.0000|18754.0000),(1214.0000|73247.0000),(884.0000|7277.0000),(15.0000|1943.0000),(261.0000|35463.0000),(34.0000|4026.0000),(854.0000|8333.0000),(758.0000|10375.0000),(1092.0000|14571.0000),(811.0000|99244.0000),(844.0000|4775.0000),(52.0000|75.0000),(374.0000|21750.0000),(50.0000|17573.0000),(717.0000|93452.0000),(348.0000|-2840.0000),(25.0000|530.0000),(715.0000|11760.0000)
0.0000,-5903.276367,3412.068359,-1820.854492,8864.477539,2454.775391,-5808.174805,-3334.088867,-9648.928711,-3585.717773,39.070312,2580.979492,7385.781738,1337.839844,-2941.471680,-4649.313477,3766.227539,2116.556641,231.961914,1344.850586,-1168.417969
30.0000,-5338.614258,4074.631836,-1151.930664,9525.558594,3116.638672,-5211.624023,-2611.483398,-9088.573242,-2815.727539,642.425781,3266.936523,8096.485840,1965.203125,-2367.491211,-3926.502930,4471.239258,2880.949219,835.358398,1961.849609,-528.149414
60.0000,-4771.473633,4738.607422,-479.648438,10186.490234,3780.307617,-4611.920898,-1883.967773,-8525.014648,-2039.877930,1247.402344,3955.089844,8807.941406,2594.279297,-1791.581055,-3198.182617,5178.226562,3648.708008,1440.382812,2580.255859,114.788086
90.0000,-4201.928711,5403.786133,195.812500,10847.087891,4445.579102,-4009.163086,-1151.736328,-7958.272461,-1258.393555,1853.855469,4645.210938,9519.904297,3224.900391,-1213.854492,-2464.520508,5886.949219,4419.538086,2046.888672,3199.897461,760.227539
120.0000,-3630.081055,6069.957031,874.254883,11507.156250,5112.245117,-3403.450195,-415.000000,-7388.393555,-471.502930,2461.636719,5337.065430,10232.117188,3856.888672,-634.428711,-1725.696289,6597.160645,5193.133789,2654.723633,3820.598633,1408.006836
150.0000,-3056.010742,6736.907715,1555.488281,12166.518555,5780.091797,-2794.897461,326.002930,-6815.432617,320.534180,3070.591797,6030.428711,10944.333984,4490.065430,-53.423828,-981.898438,7308.609863,5969.185547,3263.737305,4442.184570,2057.948242
180.0000,-2479.821289,7404.424805,2239.295898,12824.991211,6448.906738,-2183.622070,1071.038086,-6239.434570,1117.442383,3680.574219,6725.052246,11656.312500,5124.261719,529.032227,-233.339844,8021.049805,6747.376953,3873.767578,5064.474609,2709.871094
210.0000,-1901.620117,8072.290527,2925.460938,13482.402344,7118.474121,-1569.753906,1819.842773,-5660.471680,1918.935547,4291.415039,7420.700684,12367.806641,5759.289062,1112.807617,519.754883,8734.220703,7527.383301,4484.652344,5687.298828,3363.583008
240.0000,-1321.517578,8740.295898,3613.762695,14138.595703,7788.576172,-953.429688,2572.151367,-5078.612305,2724.713867,4902.965820,8117.138184,13078.589844,6394.967773,1697.773438,1277.151367,9447.878906,8308.875977,5096.243164,6310.468750,4018.895508
